"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22"
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-04-12","19.01"," 1501"," 1307","0.00","0.0","0.0",,"48","38","  320","  340","0.0","30.0","36.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-04-13","11.41"," 0724"," 1141","0.00","0.0","0.0",,"57","36","  300","  330","0.0","19.9","23.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-04-14","12.53"," 2355"," 2341","0.12","0.0","0.0",,"53","43","   60","   60","0.0","23.9","29.1","    1",,,,"    1",,,"    1",,,"    1",,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-04-15","12.75"," 0046"," 0058","0.22","0.0","0.0",,"54","43","   60","   60","0.0","25.9","31.1","    1",,,,"    1",,,,,,"    1",,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-04-16","8.95"," 1625"," 0929","0.00","0.0","0.0",,"62","44","  160","   60","0.0","16.1","19.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-04-17","6.71"," 1525"," 1519","0.00","0.0","0.0",,"69","44","  180","  180","0.0","17.0","19.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-04-18","10.51"," 1250"," 1430","0.00","0.0","0.0",,"78","56","  280","  280","0.0","19.9","23.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-04-19","10.29"," 1943"," 1727","0.00","0.0","0.0",,"61","47","  120","  130","0.0","17.0","23.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-04-20","17.00"," 1845"," 1844","1.89","0.0","0.0",,"51","43","   60","   60","0.0","29.1","32.0","    1",,"    1",,"    1",,,"    1",,,"    1",,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-04-21","8.72"," 0205"," 0204","0.09","0.0","0.0",,"56","47","   60","   60","0.0","19.9","23.9","    1",,,,"    1",,"    1","    1",,,"    1","    1",,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-04-22","7.83"," 2356"," 2354","0.05","0.0","0.0",,"57","49","  290","  290","0.0","21.9","28.0",,,,,"    1",,,,,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-04-23","15.21"," 1435"," 1434","0.00","0.0","0.0",,"57","45","  300","  300","0.0","28.0","36.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-04-24","8.50"," 1619"," 1628","0.00","0.0","0.0",,"69","45","  170","  170","0.0","21.0","23.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-04-25","8.95"," 1807"," 1806","0.00","0.0","0.0",,"88","50","  250","  260","0.0","19.9","23.9","    1",,,,,,"    1","    1",,,"    1",,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-04-26","8.28"," 1619"," 1614","0.00","0.0","0.0",,"91","63","  180","  180","0.0","21.9","28.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-04-27","10.51"," 1040"," 0932","0.00","0.0","0.0",,"79","53","   60","   80","0.0","16.1","21.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-04-28","14.76"," 1959"," 1959","0.00","0.0","0.0",,"89","68","  290","  300","0.0","25.9","33.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-04-29","12.30"," 0150"," 0148","0.00","0.0","0.0",,"68","50","   20","   30","0.0","28.0","36.0",,,,,"    1",,,,,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-04-30","8.50"," 1713"," 1711","0.00","0.0","0.0",,"61","46","  160","  150","0.0","16.1","19.9","    1",,,,,,,"    1",,,"    1","    1",,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-05-01","10.74"," 1111"," 1008","0.51","0.0","0.0",,"72","54","  230","  230","0.0","21.0","29.1","    1",,"    1",,"    1",,"    1","    1",,,"    1",,,"    1",,,,
